Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that facilitated my learning.	"The instructor encouraged me to take a role in my own learning, to ask questions, and to participate."	The instructor was well prepared to teach.	The instructor was available outside of class either electronically or in person.	The instructor is one whom I would recommend to other students.
"Perez Melian,Maria:CTEC-2300-001-INTERNET COMMUNICATION (2102-22680)"	Mean	4.25	4	4.5	3.75	4	3.75
	N	4	4	4	4	4	4
"Perez Melian,Maria:CTEC-2300-004-INTERNET COMMUNICATION (2102-25754)"	Mean	5	4	4	3	5	4
	N	1	1	1	1	1	1
"Perkinson,D'Jelma:INTD 4332-001"	Mean	5	4.875	4.8125	4.9375	4.9375	5
	N	16	16	16	16	16	16
"Perrotti,Linda:BIOL 4309 001"	Mean	4.875	4.75	4.75	4.875	4.875	4.75
	N	8	8	8	8	8	8
"Perrotti,Linda:PSYC-1315-001-INTRO TO PSYCHOLOGY"	Mean	4.3714	4.0294	3.9429	4.0571	4	3.9714
	N	35	34	35	35	35	35
"Perrotti,Linda:PSYC-4309-001-NEUROPHARMACOLOGY"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Perryman,Derrelynn:SOCW-5309-002-PROF FOUND OF SOCIAL WORK"	Mean	4.6087	4.7273	4.6087	4.6957	4.4348	4.8696
	N	23	22	23	23	23	23
"Petrovich,James:SOCW-5322-001-RESEARCH AND EVALUATION I"	Mean	4.5	4.5385	4.5769	4.84	4.5385	4.5833
	N	26	26	26	25	26	24
"Pfeiffer,Marius:SCIE-3305-001-ENVIRONMENTAL SYSTEMS (2102-23972)"	Mean	3.925	3.475	4.075	4.1026	3.4615	3.4
	N	40	40	40	39	39	40
"Pfeiffer,Marius:SCIE-5372-001-STRUCTURE & FUNCTION ORGANISMS"	Mean	3.6471	3.2941	3.9412	4.1176	3.8125	3.1765
	N	17	17	17	17	16	17
"Phifer,Michell:ENGL-2309-012-WORLD LIT"	Mean	3.5	3.75	4.0833	4.25	3.5833	3.5
	N	12	12	12	12	12	12
"Phillips,Jane:SOCW-6324-002-RESEARCH AND EVALUATION II"	Mean	3.0417	2.7826	3.6522	2.7083	3.375	3
	N	24	23	23	24	24	23
"Phillips,Sara:COMM-3310-001-COMMUNICATION LAW & ETHICS"	Mean	4.6279	4.7381	4.7143	4.7442	4.7143	4.8718
	N	43	42	42	43	42	39
"Phillips,Sara:CRCJ-4301-002-JUDICIAL SYS"	Mean	4.4286	4.4643	4.5714	4.5357	4.4815	4.6552
	N	28	28	28	28	27	29
"Phillips,Sara:CRCJ-5327-001-JUDI CONST PROC"	Mean	4.5	4.75	4.75	4.625	4.625	4.75
	N	8	8	8	8	8	8
"Philp,Kenneth:HIST-1312-005-HISTORY OF U.S."	Mean	3.9828	3.4138	3.5763	4.2931	3.6949	3.4561
	N	58	58	59	58	59	57
"Philp,Kenneth:HIST-3367-001-AMER INDIAN HIS"	Mean	4.0909	3.6364	3.7442	4.5581	4.2273	4.093
	N	44	44	43	43	44	43
"Pickard,Ava:SOCW-2313-002-SW PRACTICE I"	Mean	4.5	4.625	4.6875	4.6875	4.5625	4.75
	N	14	16	16	16	16	16
"Pickard,Ava:SOCW-3302-003-HUM BEHAV II"	Mean	3.25	3.25	4	3.75	3	3.75
	N	4	4	4	4	4	4
"Pierce,Bradley:CHEM-3317-001-INORGANIC CHEMISTRY"	Mean	4.3704	4.3077	4.3704	4.6667	4.5769	4.6296
	N	27	26	27	27	26	27
"Pierce,Lori:LING-2301-003-STUDY OF HUMAN LANGUAGES"	Mean	4.7273	4.5238	4.6818	4.7727	4.8182	4.7727
	N	22	21	22	22	22	22
"Pillai,Vijayan:SOCW-6341-001-ADV STAT METHDS IN HUM SERV"	Mean	4.5	4.3333	4.5	5	4.8333	4.8333
	N	6	6	6	6	6	6
"Pinkerton,Mary:COMM-1300-001-INTRO TO COMMUNICATION"	Mean	4.4118	4.5294	4.6111	4.6111	4.2778	4.5
	N	17	17	18	18	18	16
"Pinkerton,Mary:COMM-4305-001-COMMUNICATION & SOCIETY"	Mean	4.3158	4	4.2778	4.2632	4.2778	4.0556
	N	19	19	18	19	18	18
"Pinkerton,Mary:COMM-4305-002-COMMUNICATION & SOCIETY"	Mean	4.4286	4.2857	4.5714	4.3333	4.4286	4.45
	N	21	21	21	21	21	20
"Pinkney,Kathryn:HIST-1311-006-HISTORY OF U.S."	Mean	4.4851	3.9703	3.8911	4.68	4.051	3.8586
	N	101	101	101	100	98	99
"Pinkney,Kathryn:HIST-1312-007-HISTORY OF U.S."	Mean	4.641	4.2152	4.0253	4.8228	4.3671	4.3077
	N	78	79	79	79	79	78
"Pinkney,Kathryn:HIST-3300-005-INTRO TO HISTORICAL RESEARCH"	Mean	4.4444	4.4444	4.4444	4.5556	4.6667	4.5556
	N	9	9	9	9	9	9
"Pinon,Sally:COMS-1301-005-FUNDAMENTALS OF SPEECH"	Mean	4.8261	4.7727	4.6957	4.8261	4.6087	4.5652
	N	23	22	23	23	23	23
"Pinon,Sally:COMS-3302-002-PROF & TECH COMM"	Mean	4.4615	4.1538	4.2692	4.5769	4.3846	4.1154
	N	26	26	26	26	26	26
"Pinon,Sally:COMS-3302-010-PROF & TECH COMM"	Mean	4.5417	4.5	4.2917	4.625	4.4583	4.5
	N	24	24	24	24	24	24
"Pinon,Sally:COMS-3302-012-PROF & TECH COMM"	Mean	4.5833	4.5417	4.5	4.6667	4.375	4.625
	N	24	24	24	24	24	24
"Pires Da Silva,Andre:BIOL-3315-002-GENETICS"	Mean	4	4.1333	4.2667	4.2	4.5	4.3
	N	30	30	30	30	30	30
"Plaski,Alicia:ENGL-1301-011-EXPOS WRITING"	Mean	4.3571	4.3846	4.7143	4.4286	4.7857	4.6923
	N	14	13	14	14	14	13
"Plaski,Alicia:ENGL-1301-021-EXPOS WRITING"	Mean	4.4167	4.3333	4.5	4.5833	4.5455	4.4545
	N	12	12	12	12	11	11
"Plaski,Alicia:ENGL-1302-009-CRITICAL THINK, READ, WRITE"	Mean	3.9474	3.9474	4.2105	4.3684	4.5789	4.3889
	N	19	19	19	19	19	18
"Plaski,Alicia:ENGL-1302-028-CRITICAL THINK, READ, WRITE"	Mean	4.5263	4.5	4.4737	4.35	4.5263	4.6316
	N	19	18	19	20	19	19
"Plaski,Alicia:ENGL-1302-059-CRITICAL THINK, READ, WRITE"	Mean	4.6154	4.5833	4.6923	4.7692	4.8462	4.75
	N	13	12	13	13	13	12
"Plaski,Alicia:ENGL-1302-064-CRITICAL THINK, READ, WRITE"	Mean	4	4	5	4.5	5	5
	N	2	2	2	2	2	2
"Pomerantz,Martin:CHEM-5308-001-DETERM OF MOLEC STRUCT BY PHYS"	Mean	4.2778	4	3.7059	4.4444	4.3889	4.1111
	N	18	17	17	18	18	18
"Pool,Christopher Scott:MUSI-0171-018-ELECTIVE PERFORMANCE"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Pool,Christopher Scott:MUSI-1186-002-SIGHTSING & EAR TRAINING II"	Mean	4.4	3.88	4.3478	4.08	4.56	4
	N	25	25	23	25	25	25
"Pool,Christopher Scott:MUSI-2186-001-SIGHTSING & EAR TRAINING IV"	Mean	3.6087	2.9	3.875	3.12	3.9167	2.7917
	N	23	20	24	25	24	24
"Pool,Christopher Scott:MUSI-2186-002-SIGHTSING & EAR TRAINING IV"	Mean	3.8333	3	4.2	4	4.4	3.5
	N	6	5	5	5	5	6
"Pool,Christopher Scott:MUSI-3246-005-PRIVATE LESSONS IN WOODWINDS"	Mean	4	5	5	5	5	5
	N	1	1	1	1	1	1
"Pool,Christopher Scott:MUSI-3357-005-PRIVATE LESSONS IN WOODWINDS"	Mean	5	5		5	5	5
	N	1	1		1	1	1
"Pool,Christopher Scott:MUSI-5391-018-CONFERENCE COURSE IN MUSIC"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Popa,Dan:EE-4314-001-CONTROL SYSTEMS"	Mean	4.3125	3.3529	4.2941	4.2353	4.2353	3.7059
	N	16	17	17	17	17	17
"Popple,Phillip:SOCW-2311-003-INTRO SOC WORK"	Mean	4.3462	4.3846	4.3462	4.5	4.2692	4.4615
	N	26	26	26	26	26	26
"Porter,Kevin:ENGL-2350-003-INTRO TO TEXTS"	Mean	4.5385	4.1538	4.1538	4.6923	4.6154	4.3077
	N	13	13	13	13	13	13
"Porter,Kevin:ENGL-3371-001-ADV EXPOSITION"	Mean	4.7273	4.6364	4.8182	4.7273	4.7273	4.5455
	N	11	11	11	11	11	11
"Porter,Kevin:ENGL-4345-001-CRITICAL THEORY"	Mean	4.45	4.05	4.35	4.6	4.7	4.4
	N	20	20	20	20	20	20
"Porter,Laurin:ENGL-2350-006-INTRO TO TEXTS"	Mean	4.6667	4.5	4.6667	4.75	4.8182	4.4545
	N	12	12	12	12	11	11
"Porter,Laurin:ENGL-3341-001-AMERICAN DRAMA"	Mean	3.3	3.4	4.4	4.3	4.5	3.1
	N	10	10	10	10	10	10
"Porter,Laurin:ENGL-3370-001-WOMEN IN LITERATURE"	Mean	4.0833	4.1667	4.5833	4.5	4.4167	3.9167
	N	12	12	12	12	12	12
"Porter,Laurin:WOMS-3370-001-WOMEN IN LITERATURE"	Mean	4	4.25	4.25	4.75	4.75	3.75
	N	4	4	4	4	4	4
"Powell,Dick:SCIE-3302-001-PHYSICAL SCIENCE - CHEMISTRY"	Mean	4.614	4.4828	4.4655	4.5862	4.6379	4.6379
	N	57	58	58	58	58	58
"Powell,Linton:MUSI-0171-031-ELECTIVE PERFORMANCE"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Powell,Linton:MUSI-0174-030-SECONDARY KEYBOARD"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Powell,Linton:MUSI-1257-001-PRIVATE LESSONS IN ORGAN"	Mean	5	5	5	5	4	5
	N	1	1	1	1	1	1
"Powell,Linton:MUSI-1258-001-PRIVATE LESSONS IN ORGAN"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Powell,Linton:MUSI-2302-001-MUS LIT"	Mean	4.7647	4.6875	4.5294	4.9412	4.7647	4.6471
	N	17	16	17	17	17	17
"Powell,Linton:MUSI-3301-001-MUSIC HISTORY II"	Mean	4.8	4.6	4.7895	4.8571	4.619	4.7143
	N	20	20	19	21	21	21
"Powell,Linton:MUSI-3301-002-MUSIC HISTORY II"	Mean	4.5556	4.2857	4.2308	4.7143	4.4815	4.5385
	N	27	28	26	28	27	26
"Powell,Linton:MUSI-4267-001-PRIVATE LESSONS IN HARPSICHORD"	Mean	4	4	4	4	4	4
	N	1	1	1	1	1	1
"Powell,Linton:MUSI-5223-001-PRIVATE LESSONS IN HARPSICHORD"	Mean	5	5	5	4	5	5
	N	1	1	1	1	1	1
"Prater,Edmund:OPMA-3306-002-OPERATIONS MANAGEMENT"	Mean	4.5161	4.5484	4.7742	4.6	4.4333	4.6129
	N	31	31	31	30	30	31
"Prewitt,Russell:MANA-3320-009-PER/HUM RES MGT"	Mean	4.5	4.0833	4.6667	4.5	4.5	4.4167
	N	12	12	12	12	12	12
"Price,John:CRCJ-3338-002-JUV JUST SYST"	Mean	4.1429	4.0571	4.1471	4.1765	4.1818	4.2059
	N	35	35	34	34	33	34
"Price,John:CRCJ-4380-001-COMPAR CRIMINAL JUSTICE SYSTEM"	Mean	4.2195	4.1538	4.4	4.4	4.3333	4.1795
	N	41	39	40	40	39	39
"Price,Kenneth:BSAD-6311-001-EXPERIMENTAL DESIGN"	Mean	4.625	4.5714	4.625	4.75	4.75	4.75
	N	8	7	8	8	8	8
"Price,Kenneth:MANA-6390-001-ADVANCED TOPICS IN MANAGEMENT"	Mean	3.8	4.2	4.6	4.4	4.6	4.4
	N	5	5	5	5	5	5
"Price,Martin:ARCH-4395-007-SELECTED TOPICS ARCH"	Mean	4.6	4.8	4.8	5	4.8	4.6
	N	5	5	5	5	5	5
"Price,Martin:ARCH-5302-001-LYRICISM IN ARCHITECTURE"	Mean	4.5	4.5	5	5	5	4.5
	N	2	2	2	2	2	2
"Price,Martin:ARCH-5670-006-ADVANCED DESIGN STUDIO"	Mean	2.5714	3	4.4286	3.7143	4.1429	3.3333
	N	7	7	7	7	7	6
"Priddy,Kristen:NURS-1335-004-INTRO TO PROFESSIONAL NURSING"	Mean	4.7273	4.6818	4.6818	4.7273	4.7619	4.6364
	N	22	22	22	22	21	22
"Priddy,Kristen:NURS-1335-007-INTRO TO PROFESSIONAL NURSING"	Mean	4.4583	4.5	4.625	4.6667	4.5833	4.6957
	N	24	24	24	24	24	23
"Priddy,Kristen:NURS-2240-001-CONCEPTS OF PROF NURSING"	Mean	4.4655	4.5085	4.5932	4.6897	4.5593	4.6271
	N	58	59	59	58	59	59
"Priddy,Kristen:NURS-2240-003-CONCEPTS OF PROF NURSING"	Mean	4.2821	4.3846	4.6154	4.7692	4.641	4.5897
	N	39	39	39	39	39	39
"Priest,John:IE-4345-001-KNOWLEDGE & TECHNOLOGY MGMT (2102-22242)"	Mean	3.4167	3.6667	3.75	3.8333	3.6667	3.8333
	N	12	12	12	12	12	12
"Priest,John:IE-4349-001-AUTOMATION AND ROBOTICS II"	Mean	4	4	4	5	5	5
	N	1	1	1	1	1	1
"Priest,John:IE-5345-001-MGMT OF KNOWLEDGE & TECH (2102-22291)"	Mean	3.76	3.7083	3.72	3.76	3.3478	3.5833
	N	25	24	25	25	23	24
"Priest,John:IE-5345-002-MGMT OF KNOWLEDGE & TECH (2102-22292)"	Mean	4	4	4	4	4	4
	N	1	1	1	1	1	1
"Priest,John:IE-6310-001-INDUSTRIAL ROBOT APPLICATIONS"	Mean	4.5	4	4.25	5	4.5	4.25
	N	4	4	4	3	4	4
"Prieto-Puentes,Gloria:SPAN-1441-018-BEGINNING SPANISH I"	Mean	4.1429	3.875	4.5556	4.2222	4.1111	4
	N	7	8	9	9	9	9
"Prieto-Puentes,Gloria:SPAN-2314-006-INTERMEDIATE SPANISH II"	Mean	4.1053	4.0526	4.4211	4.1053	4.1	4.05
	N	19	19	19	19	20	20
"Prince,Melyssa:PREL-2338-002-INTRO PUBLIC RELATIONS"	Mean	4.5429	4.2286	4.3429	4.5143	4	4.2059
	N	35	35	35	35	35	34
"Prisby,Rhonda:KINE-1400-001-INTRO TO EXERCISE SCIENCE"	Mean	4.2045	3.814	4.1364	4.3256	4.2857	4.1136
	N	44	43	44	43	42	44
"Proctor,Lana:JOUR-1345-001-WRITING FOR MASS MEDIA"	Mean	3.6154	3.8571	4.2308	4.0769	3.8462	4.1538
	N	13	14	13	13	13	13
"Proctor,Lana:JOUR-1345-002-WRITING FOR MASS MEDIA"	Mean	4.5	4.4286	4.4286	4.5	4.5	4.5714
	N	14	14	14	14	14	14
"Puppala,Anand:CE-3343-001-SOIL MECHANICS"	Mean	4.75	4.5833	4.6667	4.625	4.6667	4.7083
	N	24	24	24	24	24	24
"Putnam,Michael:COMS-1301-009-FUNDAMENTALS OF SPEECH"	Mean	4.6842	4.6	4.4	4.7	4.5	4.75
	N	19	20	20	20	20	20
"Putnam,Michael:COMS-1301-010-FUNDAMENTALS OF SPEECH"	Mean	4.9444	4.8333	4.5556	4.9444	4.8889	4.9444
	N	18	18	18	18	18	18
"Putnam,Michael:COMS-3302-003-PROF & TECH COMM"	Mean	4.8696	4.7826	4.4348	4.8696	4.6957	4.7826
	N	23	23	23	23	23	23
"Putnam,Michael:COMS-3302-005-PROF & TECH COMM"	Mean	4.7727	4.7727	4.6364	4.9091	4.7619	4.7727
	N	22	22	22	22	21	22
"Quevedo,Steven:ARCH-2552-001-BASIC DESIGN AND DRAWING II"	Mean	3.7333	3.7333	4.2667	3.9333	3.5333	3.7333
	N	15	15	15	15	15	15
"Quevedo,Steven:ARCH-3554-001-DESIGN STUDIO: ARCHITECTURE II"	Mean	3.9	4.2	3.9	4.4	3.5	4.3
	N	10	10	10	10	10	10
"Quick,Jim:MANA-5350-001-EFFECTIVE LEADERSHIP"	Mean	4.3571	4.0714	4.7143	4.6429	4.5	4.0714
	N	14	14	14	14	14	14
"Raines,Jeffrey:KINE-1400-004-INTRO TO EXERCISE SCIENCE"	Mean	4.5	4.3125	4.3125	4.5625	4.7333	4.2
	N	16	16	16	16	15	15
"Raines,Jeffrey:KINE-1400-009-INTRO TO EXERCISE SCIENCE"	Mean	4.9	4.9091	4.8182	4.6364	4.9091	4.8182
	N	10	11	11	11	11	11
"Raines,Jeffrey:KINE-3315-004-PHYSIOLOGY OF EXERCISE"	Mean	4.7778	4.8889	4.7778	4.7778	4.5556	4.8889
	N	9	9	9	9	9	9
"Raines,Jeffrey:KINE-3315-005-PHYSIOLOGY OF EXERCISE"	Mean	4.8333	4.8333	4.8333	4.9167	4.8333	5
	N	12	12	12	12	12	12
"Raja,M:INSY-5340-001-MANAGING DIGITAL ENTERPRISE"	Mean	4.1538	3.9231	4.4615	4.3077	4.3846	4.0769
	N	13	13	13	13	13	13
"Rakvongthai,Yothin:EE-3330-001-PROBABILITY AND RANDOM SIGNALS"	Mean	4.2222	4.1053	4.1053	4.4211	4.5789	4.2105
	N	18	19	19	19	19	19
"Ramirez,Guillermo:CE-6350-001-ADV CONCRETE DESIGN II"	Mean	3.25	3.25	3.25	3.25	3.25	2.75
	N	4	4	4	4	4	4
"Ramirez,Susanna:BEEP-4306-005-FAM LITERACY & 2ND LANG ACQUIS"	Mean	4.6667	4.7647	4.7059	4.7222	4.5294	4.8235
	N	18	17	17	18	17	17
"Rao,Kamisetty:EE-5356-001-DIGITAL IMAGE PROCESSING (2102-24859)"	Mean	3.7143	3.7692	3.7857	4	3.9286	3.8571
	N	14	13	14	14	14	14
"Rao,Kamisetty:EE-5359-001-TOPICS IN SIGNAL PROCESSING (2102-24861)"	Mean	4.3333	4.1667	4.5	4.5	4.6667	4.6667
	N	6	6	6	6	6	6
"Rasheed,Abdul:MANA-4322-002-ORGANIZATIONAL STRATEGY"	Mean	4.25	4.3214	4.3929	4.7143	4.4643	4.3571
	N	28	28	28	28	28	28
"Rasheed,Abdul:MANA-5331-001-MULTINATIONAL ENTERPRISES"	Mean	4.1111	3.7407	4.1111	4.2692	3.7407	3.8519
	N	27	27	27	26	27	27
"Rasheed,Abdul:MANA-5336-002-STRATEGIC MANAGEMENT"	Mean	4.4667	4.3	4.3438	4.5625	4.4839	4.4688
	N	30	30	32	32	31	32
"Rasmussen,Stephanie:ACCT-2301-001-PRINCIPLES OF ACCOUNTING I"	Mean	4.2895	4.0256	4.075	4.5405	4.1053	4
	N	38	39	40	37	38	37
"Rasmussen,Stephanie:ACCT-2301-006-PRINCIPLES OF ACCOUNTING I"	Mean	4.6333	4.4839	4.5161	4.871	4.6129	4.6774
	N	30	31	31	31	31	31
"Raudonis,Barbara:NURS-5301-001-RESEARCH IN NURSING"	Mean	3.7059	3.1765	4.0588	3.5625	3.9412	3.3529
	N	17	17	17	16	17	17
"Raudonis,Barbara:NURS-6302-004-HLTH OF CLTRLY DIV & VUL POPS"	Mean	4.6	4.8	5	4.7	4.9	4.7
	N	10	10	10	10	10	10
"Rawls,James:ART-2358-003-INTRO FILM/VIDEO"	Mean	4.25	4.1111	4.3	4.25	4.1	4.3
	N	8	9	10	8	10	10
"Ray,Asok:PHYS-1441-003-GENERAL COLLEGE PHYSICS I"	Mean	4.28	4.1224	4.22	4.449	4.22	4.24
	N	50	49	50	49	50	50
"Ray,Asok:PHYS-5308-001-QUANTUM MECH II"	Mean	4.0556	3.7778	4.3333	4.3333	4.0556	3.7222
	N	18	18	18	18	18	18
"Ray,Christopher:EXSA-1247-001-EXERCISE & WEIGHT MANAGEMENT"	Mean	4.8571	4.5714	4.5714	4.4286	4.7143	4.7143
	N	7	7	7	7	7	7
"Ray,Christopher:KINE-4329-001-STRENGTH & CONDITIONING"	Mean	4.0556	4.0278	4.1944	4.2222	4.2778	4.1143
	N	36	36	36	36	36	35
"Ray,Julie:HEED-1340-001-HEALTHY LIFESTYLES"	Mean	2.8889	3.1111	4.3333	3.2222	4	3.6667
	N	9	9	9	9	9	9
"Reeder,Harry:PHIL-1301-001-CRITICAL THINK"	Mean	4.5556	4.2222	4.4444	4.5556	4.3333	3.8889
	N	9	9	9	9	9	9
"Reeder,Harry:PHIL-1301-002-CRITICAL THINK"	Mean	4	3.8333	4.25	4.25	4.5	4
	N	12	12	12	12	12	12
"Reeder,Harry:PHIL-4389-001-TOPICS SOC SCI"	Mean	4.4545	4.2727	4.7273	4.7273	4.6364	4.7273
	N	11	11	11	11	11	11
"Reeder,Harry:PHIL-5393-003-PHIL PERSP ON THE HUMANITIES"	Mean	4	5	5	5	4	5
	N	1	1	1	1	1	1
"Reeves,Thad:ARCH-2552-003-BASIC DESIGN AND DRAWING II"	Mean	3.5455	3.7273	3.8182	3.6364	2.9091	3.6364
	N	11	11	11	11	11	11
"Reeves,Thad:ARCH-3554-002-DESIGN STUDIO: ARCHITECTURE II"	Mean	3.8182	3.1818	3.75	3.6364	3.3636	2.8182
	N	11	11	12	11	11	11
"Reimers,Carlos:ARCH-2552-007-BASIC DESIGN AND DRAWING II"	Mean	4.3333	4.5333	4.6667	4.5333	4.4286	4.4667
	N	15	15	15	15	14	15
"Reimers,Carlos:ARCH-3553-001-DESIGN STUDIO: ARCHITECTURE I"	Mean	4.5455	4.5833	4.6364	4.8333	4.5833	4.3333
	N	11	12	11	12	12	12
"Reinhardt,Joan:HIST-4388-002-SEL TOP HIST"	Mean	4.2667	4.0667	4.3333	4.6	4.2667	4.2
	N	15	15	15	15	15	15
"Reinhardt,Steven:HIST-3383-001-EARLY MOD EUROPE, 1560-1715"	Mean	4.2941	3.8889	3.7778	4.5	4.3333	4.0556
	N	17	18	18	18	18	18
"Reinhardt,Steven:HIST-4354-001-EARLY FRANCE"	Mean	4.3684	4.2105	4.1579	4.5789	4.1053	4.2632
	N	19	19	19	19	19	19
"Reinhardt,Steven:HIST-5341-001-ISS/INTRP EURO/LATAM/AFRI HIST"	Mean	4.6875	4.5625	4.625	4.8125	4.625	4.8125
	N	16	16	16	16	16	16
"Reisinger,Randee:ECED-4687-004-RESIDENCY IN EC-6 EDUCATION"	Mean	4.6667	4.7143	4.7143	4.7143	4.6667	4.3333
	N	6	7	7	7	6	6
"Repsis,John:ACCT-5341-001-TAX OF PASSTHROUGH ENTITIES"	Mean	4.6667	4.6	4.4667	4.9333	4.4667	4.8
	N	15	15	15	15	15	15
"Rethard,Thomas:CSE-1105-001-INTRO COMPUTER SCI & ENGR"	Mean	3.0526	3.0769	3.5526	3.3333	3.7838	3.0263
	N	38	39	38	39	37	38
"Rethard,Thomas:CSE-1105-002-INTRO COMPUTER SCI & ENGR"	Mean	3.8696	3.8261	4.1304	4.0417	4.1667	3.9583
	N	23	23	23	24	24	24
"Rethard,Thomas:CSE-2312-001-COMPUTER ORGANIZATION & ARCH"	Mean	3.3043	3.2174	4.0652	3.2174	4.1556	3.0435
	N	46	46	46	46	45	46
"Rex-Lear,Madeline:PSYC-3310-002-DEVELOPMENT PSYCH"	Mean	4.3594	4.3047	4.3175	4.5354	4.3548	4.4683
	N	128	128	126	127	124	126
"Reynolds,Raquel:NURS-3645-201-RN-BSN PROFESSIONAL NURSING"	Mean	3.8043	3.5745	3.6739	4.1064	3.7872	3.5106
	N	46	47	46	47	47	47
"Rhea,Thomas:ENGL-1302-011-CRITICAL THINK, READ, WRITE"	Mean	4.6471	4.5294	4.7647	4.8235	4.8824	4.8235
	N	17	17	17	17	17	17
"Rhea,Thomas:ENGL-1302-024-CRITICAL THINK, READ, WRITE"	Mean	4.3529	4.3529	4.4118	4.4667	4.5294	4.4667
	N	17	17	17	15	17	15
"Ricard,Mark:KINE-3301-003-BIOMECHANICS OF HUMAN MOVEMENT"	Mean	4.7073	4.619	4.5366	4.6905	4.5366	4.625
	N	41	42	41	42	41	40
"Ricard,Mark:KINE-5350-001-APPLIED BIOMECHANICS"	Mean	4.4	4.4375	4.5333	4.5625	4.5625	4.6667
	N	15	16	15	16	16	15
"Richardson,Timothy:ENGL-4356-001-LIT CRIT II"	Mean	4.5714	4.4762	4.4762	4.6667	4.4762	4.6
	N	21	21	21	21	21	20
"Richardson,Timothy:ENGL-5350-001-HIST RHETORIC I CLASSICAL RHET"	Mean	4.375	4.5	4.75	4.375	4.625	4.625
	N	8	8	8	8	8	8
"Richarme,Michael:MARK-5328-001-PRODUCT MANAGMENT"	Mean	4.3684	4.4103	4.4103	4.7368	4.3947	4.4359
	N	38	39	39	38	38	39
"Richmond,Douglas:HIST-3300-001-INTRO TO HISTORICAL RESEARCH"	Mean	4.2	4.1333	4.2667	4.3333	4.5	4.2
	N	15	15	15	15	14	15
"Richmond,Douglas:HIST-4365-001-SPAIN&PORTUGAL"	Mean	4.2	3.9048	3.85	4.7143	4.381	4.05
	N	20	21	20	21	21	20
"Richmond,Douglas:HIST-5333-001-REG/ TOP EURO/LTN AM/AFRI HIST"	Mean	4.6	4.1818	4.6	4.3636	4.7273	4.4545
	N	10	11	10	11	11	11
"Riggs,Milissa:ENGL-1301-013-EXPOS WRITING"	Mean	4.625	4	4.5	4.125	4.625	4.375
	N	8	8	8	8	8	8
"Riggs,Milissa:ENGL-3373-009-TECH WRITING"	Mean	2.5333	2.6	3.4	2.8462	3.5714	2.2857
	N	15	15	15	13	14	14
"Rings,Lana:GERM-2314-001-INTERMEDIATE GERMAN II"	Mean	4.125	4.1875	4.5	4.5625	4.75	4.4375
	N	16	16	16	16	16	16
"Rings,Lana:GERM-3314-001-GERMAN CULTURE/COMPOSITION"	Mean	4.1111	4.2222	4.6667	4.4444	4.8889	4.5556
	N	9	9	9	9	9	9
"Rings,Lana:GERM-4335-001-BUSINESS GERMAN"	Mean	4.5	4.3333	4.8333	4.5	4.8	4.1667
	N	6	6	6	6	5	6
"Rivas-Aguilar,Julio:FINA-4318-001-PORTFOLIO MGMT & SEC ANALYSIS"	Mean	4.84	4.72	4.68	4.76	4.88	4.8333
	N	25	25	25	25	25	24
"Robb,Aaron:SOCW-6323-001-PERSPECTIVES IN MENTAL HEALTH"	Mean	4.8	4.619	4.619	4.8	4.4762	4.6667
	N	20	21	21	20	21	21
"Roberts,Sheryl:MANA-3325-003-ENTREPRENEUR I"	Mean	3.9833	4.0339	4.35	4.3448	4.2982	4.2759
	N	60	59	60	58	57	58
"Robertson,Billy:MUSI-1244-006-PRIVATE LESSONS IN STRINGS"	Mean	2	2	3	2	1	1
	N	1	1	1	1	1	1
"Robertson,Billy:MUSI-1245-006-PRIVATE LESSONS IN STRINGS"	Mean	5	5	5	4.5	5	5
	N	2	2	2	2	2	2
"Robertson,Billy:MUSI-2245-006-PRIVATE LESSONS IN STRINGS"	Mean	3.5	3.5	2.5	2.5	3.5	2
	N	2	2	2	2	2	2
"Robertson,Billy:MUSI-3244-006-PRIVATE LESSONS IN STRINGS"	Mean	4		3	3	4	3
	N	1		1	1	1	1
"Robertson,Robert:ENGL-0300-004-RDG COMPREHENSION & WRITING"	Mean	4	4	4	3.8	3.6	4
	N	5	5	5	5	5	5
"Robinette,Gary:LARC-5340-001-PROFESSIONAL PRACTICE"	Mean	3.8571	3.8571	4	4.1429	4	3.7143
	N	7	7	7	7	7	7
"Robinette,Gary:LARC-5662-001-DESIGN STUDIO 2"	Mean	3	3.6667	3.8333	4.3333	2.3333	3.6667
	N	6	6	6	6	6	6
"Robinson,Austin:COMS-1301-003-FUNDAMENTALS OF SPEECH"	Mean	4	4.1	4.3	4.7	4.4762	4.4762
	N	19	20	20	20	21	21
"Robinson,Austin:COMS-1301-007-FUNDAMENTALS OF SPEECH"	Mean	4.7727	4.4545	4.4091	4.5909	4.4762	4.5455
	N	22	22	22	22	21	22
"Robinson,Austin:COMS-1301-008-FUNDAMENTALS OF SPEECH"	Mean	4.125	4	4.5	4.4706	4.4118	4.3125
	N	16	17	16	17	17	16
