Prof_Course		Provided clearly defined expectations.	Used teaching methods that facilitated my own learning.	Encouraged me to take part in my own learning.	Was well prepared to take part in my own learning.	Was available outside of class either electronically or in person.	Is one whom I would recommend to other students.
"Woods,Robert:MAE-3319-001-DYNAMIC SYS MODELING/SIMULATIO"	Mean	5	4.8	4.8	4.8	4.4	4.8
	N	5	5	5	5	5	5
"Woods,Robert:MAE-4188-001 / 002-DESIGN PROJECT LABORATORY II"	Mean	4.8	4.8	4.8	4.8	4.6	4.8
	N	5	5	5	5	5	5
"Woods,Robert:MAE-4301-001-SPEC TOPICS MECH & AERO ENGR and ME-5390-001-SPEC TOPICS MECH ENGR"	Mean	4	3.8333	4.3333	4.1667	4.3333	4.1667
	N	6	6	6	6	6	6
"Woody,David:SOCW-4251-001-SOCIAL WORK FIELD SEMINAR I"	Mean	4.2222	3.8889	4.1111	4	3.6667	3.875
	N	9	9	9	9	9	8
"Wostl,Elijah:BIOL-2458-003-HUMAN ANATOMY & PHYSIOLOGY II"	Mean	2	2	2	2	2	2
	N	1	1	1	1	1	1
"Wunder,Timothy:ECON-2306-001-PRINCIPLES OF MICROECONOMICS"	Mean	4.9091	4.9091	4.2727	4.4545	4	4.8182
	N	11	11	11	11	11	11
"Wunder,Timothy:ECON-5311-001-ECONOMIC ANALYSIS"	Mean	4.875	4.875	4.75	4.8571	4.625	4.875
	N	8	8	8	7	8	8
"Xiao,Pengcheng:MATH-1302-100-COLLEGE ALGEBRA"	Mean	4.5455	4.2727	4.4545	4.7273	4.7273	4.3636
	N	11	11	11	11	11	11
"Yan,Yonghua:MATH-1426-100-CALCULUS I"	Mean	3.5	3	2.5	3	4	2.5
	N	2	2	2	2	2	2
"Yang,Mei:MATH-1302-101-COLLEGE ALGEBRA"	Mean	4	4.4167	4.5	4.5833	4.1667	4.25
	N	12	12	12	12	12	12
"Yasar,Mahmut:ECON-5313-001-MANAGERIAL ECONOMICS"	Mean	4	3.75	4	4.25	4.25	4
	N	4	4	4	4	4	4
"Yilla,Abu:KINE-2307-001 & KINE-3307-001-SPORTS AND SOCIETY (2135-5W1-0006)"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Yoon,Jiyoon:EDUC-5380-005-DIVERSITY IN EDUC SETTINGS"	Mean	3.1017	3.7069	3.9322	3.1525	3.566	3.2034
	N	59	58	59	59	53	59
"Young,Paul:CE-5356-001-SURFACE WATER QUALITY MODELING"	Mean	4	4	3	4	4	4
	N	1	1	1	1	1	1
"Young,Robert:SOCI-3315-001-SOC PSYC CRIME"	Mean	5	4.5	4.6667	4.8333	4.6667	4.5
	N	6	6	6	6	6	6
"Youssefzadeh,Bijan:ARCH-5672-001-ADV DSGN STUDIO COMPREHENSIVE"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Yu,Jaehoon:PHYS-1442-001-GENERAL COLLEGE PHYSICS II"	Mean	4.6667	4.6667	4.6667	5	3.3333	4.6667
	N	3	3	3	3	3	3
"Zhang,Jie:INSY-4315-001-ADVANCED WEB DEVELOPMENT"	Mean	3.8333	3.8333	4.5	3.8333	4	3.8333
	N	6	6	6	6	6	6
"Zhang,Yanbo:CHEM-1442-102-GENERAL CHEMISTRY II"	Mean	3.5	3.5	3.5	3.5	2.5	3
	N	2	2	2	2	2	2
"Zhukova,Daria:CHEM-1442-105-GENERAL CHEMISTRY II"	Mean	3.2857	3.2857	4.1429	3.4286	4.2857	3.4286
	N	7	7	7	7	7	7
Total	Mean	4.2983	4.147	4.2998	4.3791	4.3078	4.1849
	N	6176	6163	6144	6119	5864	6102
